epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,10260.5,0.79162,0.5771,1.07445,0.80785,0.56947,0.6224,0.42572,1.28438,0.9739,1.28739,0.000222961,0.000222961,0.000222961
72,10362.7,0.76159,0.54198,1.05543,0.80608,0.5696,0.63075,0.43164,1.28687,0.96093,1.2872,0.000202332,0.000202332,0.000202332
73,10464.6,0.75592,0.53071,1.04863,0.84081,0.55326,0.6245,0.4302,1.28655,0.96633,1.29084,0.000181703,0.000181703,0.000181703
74,10567.2,0.74653,0.52794,1.04831,0.81256,0.57099,0.63489,0.43543,1.27935,0.96839,1.28745,0.000161074,0.000161074,0.000161074
75,10669.3,0.74976,0.5203,1.04517,0.7718,0.58586,0.63158,0.43547,1.28161,0.96412,1.28703,0.000140445,0.000140445,0.000140445
76,10771,0.73912,0.51475,1.04149,0.82036,0.56142,0.62822,0.43406,1.27834,0.95665,1.28887,0.000119816,0.000119816,0.000119816
77,10874,0.73712,0.51159,1.03551,0.83154,0.56403,0.63534,0.43701,1.27068,0.95442,1.28004,9.91865e-05,9.91865e-05,9.91865e-05
78,10977.5,0.72691,0.5006,1.0333,0.81054,0.56686,0.63148,0.43261,1.27444,0.95393,1.28368,7.85574e-05,7.85574e-05,7.85574e-05
79,11079.3,0.72422,0.49418,1.02968,0.83568,0.5564,0.63331,0.43429,1.28112,0.95853,1.28823,5.79283e-05,5.79283e-05,5.79283e-05
80,11181.7,0.71932,0.49606,1.02492,0.81152,0.56762,0.63348,0.43605,1.27575,0.95669,1.28543,3.72991e-05,3.72991e-05,3.72991e-05
